"","year","observed.age.60.64","observed.age.65.69","ssa.age.60.64","ssa.age.65.69"
"1",1979,162.1,300.6,NA,NA
"2",1980,156,291.4,NA,NA
"3",1981,146.7,275.6,NA,NA
"4",1982,137.6,264.4,NA,NA
"5",1983,137.5,249.5,NA,NA
"6",1984,134,246.9,NA,NA
"7",1985,130.5,238.4,NA,NA
"8",1986,128.6,227.7,NA,NA
"9",1987,126.9,220.1,NA,NA
"10",1988,124.7,217.4,NA,NA
"11",1989,119,208.1,NA,NA
"12",1990,111.4,203.2,NA,NA
"13",1991,109.3,201.1,NA,NA
"14",1992,108.6,191,NA,NA
"15",1993,109.1,193.7,NA,NA
"16",1994,108.4,191,NA,NA
"17",1995,108.7,188.9,NA,NA
"18",1996,107.8,185.4,NA,NA
"19",1997,104.8,184,NA,NA
"20",1998,101.4,174.8,NA,NA
"21",1999,90.5,159.5,NA,NA
"22",2000,92.8,159.1,NA,NA
"23",2001,85.7,152.8,NA,NA
"24",2002,84.5,150.7,NA,NA
"25",2003,NA,NA,84.3,147.4
"26",2004,NA,NA,82.4,143.7
"27",2005,NA,NA,80.5,140
"28",2006,NA,NA,78.6,136.4
"29",2010,NA,NA,72.6,123.1
"30",2015,NA,NA,66.7,108.4
"31",2020,NA,NA,61.7,95.5
"32",2025,NA,NA,57.1,84.1
"33",2030,NA,NA,53,74.1
"34",2035,NA,NA,49.1,65.3
"35",2040,NA,NA,45.5,57.6
"36",2045,NA,NA,42.2,50.7
"37",2050,NA,NA,39.1,44.7
"38",2055,NA,NA,36.3,39.4
"39",2060,NA,NA,33.6,34.7
"40",2065,NA,NA,31.2,30.6
"41",2070,NA,NA,28.9,26.9
"42",2075,NA,NA,26.8,23.7
"43",2080,NA,NA,24.9,20.9
"44",2085,NA,NA,23.1,18.4
"45",2090,NA,NA,21.4,16.2
"46",2095,NA,NA,19.8,14.3
"47",2100,NA,NA,18.4,12.6
